listing_id,date
73155,2011-05-29
73155,2011-06-27
73155,2011-07-07
73155,2011-07-10
73155,2011-07-12
73155,2011-07-25
73155,2011-08-31
73155,2011-09-11
73155,2012-02-06
73155,2012-02-16
73155,2012-03-10
73155,2012-05-02
73155,2012-05-08
73155,2012-06-10
73155,2012-06-30
73155,2012-07-10
73155,2012-08-04
73155,2012-09-08
73155,2013-01-05
73155,2013-03-11
73155,2013-04-24
73155,2013-05-04
73155,2013-05-13
73155,2013-05-18
73155,2013-06-30
73155,2013-07-16
73155,2014-02-14
73155,2014-04-26
73155,2014-06-15
73155,2014-07-06
73155,2015-04-26
73155,2015-06-06
73155,2015-06-14
73155,2015-06-22
73155,2015-07-03
73155,2015-08-11
73155,2015-11-27
73155,2016-01-05
73155,2016-01-22
73155,2016-02-16
73155,2017-04-17
73155,2017-04-21
73155,2017-05-27
73155,2017-06-06
73155,2017-06-14
73155,2017-06-29
73155,2017-08-17
73155,2017-09-18
73155,2017-10-19
73155,2017-12-15
73155,2018-03-25
73155,2018-04-10
73155,2018-04-20
73155,2018-05-12
73155,2018-05-27
73155,2018-06-01
73155,2018-06-13
73155,2018-07-01
73155,2018-07-08
73155,2018-07-31
73155,2018-08-12
73155,2018-08-20
73155,2018-08-24
73155,2018-08-30
73155,2018-09-07
73155,2018-09-15
73155,2018-09-21
73155,2018-10-01
73155,2018-10-07
73155,2018-10-14
73155,2018-10-25
73155,2018-11-06
73155,2018-11-11
73155,2018-11-18
73155,2018-11-25
73155,2019-01-06
73155,2019-01-20
73155,2019-02-16
73155,2019-02-24
73155,2019-03-04
73155,2019-03-31
73155,2019-04-08
73155,2019-04-13
73155,2019-04-18
73155,2019-04-28
73155,2019-05-12
73155,2019-06-07
73155,2019-08-07
73155,2019-08-29
73155,2019-09-08
73155,2019-09-16
73155,2019-09-21
73155,2019-10-07
73155,2019-10-11
73155,2019-11-23
73155,2020-01-04
73155,2020-01-30
73155,2020-02-29
73155,2021-09-22
73155,2022-02-06
73155,2022-03-07
73155,2022-04-11
73155,2022-05-20
73155,2022-06-30
73155,2022-07-30
73155,2022-08-17
73155,2022-08-28
73155,2022-09-11
73155,2022-09-20
73155,2022-10-01
73155,2022-10-20
73155,2022-11-04
73155,2023-01-14
73155,2023-05-24
73155,2023-06-19
73155,2023-06-30
77592,2011-04-12
77592,2013-01-12
77592,2013-03-02
77592,2013-05-10
77592,2015-10-07
77592,2015-12-28
77592,2016-04-05
77592,2016-04-24
77592,2016-05-02
77592,2016-07-19
77592,2022-08-03
77592,2022-08-05
77592,2022-08-08
77592,2022-08-25
77592,2022-09-13
77592,2022-09-16
77592,2022-09-26
77592,2022-10-02
101526,2011-06-03
101526,2011-11-22
101526,2012-03-26
101526,2014-10-14
101526,2015-11-09
101526,2016-04-15
101526,2017-02-04
101526,2017-04-10
101526,2017-07-10
101526,2018-06-23
101526,2018-08-19
101526,2019-01-29
101526,2022-12-29
101526,2023-01-03
101526,2023-02-04
101526,2023-03-25
101526,2023-05-03
101526,2023-05-14
283124,2012-02-01
283124,2012-04-12
283124,2012-05-03
283124,2012-05-08
283124,2012-05-21
283124,2012-05-26
283124,2012-06-01
283124,2012-06-20
283124,2012-07-02
283124,2012-07-06
283124,2012-07-22
283124,2012-08-13
283124,2012-08-17
283124,2012-10-01
283124,2012-10-07
283124,2012-12-05
283124,2013-01-03
283124,2013-01-25
283124,2013-01-31
283124,2013-03-30
